,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
22832,19370825,Beautiful first floor london flat with deck,135788156,Adam,,Kensington and Chelsea,51.51139,-0.19507,Entire home/apt,100,4,19,10/27/2019,0.38,1,0,0,
26910,21563245,Bright 1 Bed Maisonette in Stoke Newington/Dalston,51670911,Giovanna,,Hackney,51.55335,-0.07669,Entire home/apt,100,2,1,8/27/2018,0.03,1,0,0,
27503,21808978,Cool East London 2bed 2bath Apartment with Balcony,158810666,Ritchie,,Hackney,51.54515,-0.07316,Entire home/apt,100,3,0,,,1,0,0,
27557,21834372,Sunny 1-bed Home Near Portobello,121015906,Vilma,,Kensington and Chelsea,51.52616,-0.21342,Entire home/apt,100,3,1,4/11/2018,0.02,1,0,0,
27633,21861825,Full use of a Notting Hill Lodge,8624370,Desmond,,Kensington and Chelsea,51.51523,-0.20154,Private room,100,3,0,,,3,0,0,
27829,21943990,Cozy flat in London Fields,29181545,Peter,,Hackney,51.54084,-0.04868,Entire home/apt,100,3,6,6/27/2018,0.13,2,0,0,
27872,21958290,2 Bed House at Lovely Mare Street\ London Fields,23430632,Adi,,Hackney,51.53682,-0.05401,Entire home/apt,100,3,0,,,1,0,0,
26736,21473286,Entire house in Stoke Newington - Space for 6,62825700,Niall,,Hackney,51.55848,-0.07499,Entire home/apt,100,2,0,,,1,0,0,
27945,21991869,Studio apartment in the heart of kensington,157162885,Amina,,Kensington and Chelsea,51.49304,-0.18967,Entire home/apt,100,1,13,9/12/2019,0.29,5,357,0,
29027,22667193,Beautiful 1 bedroom split-level flat in Hackney,3410948,Luca,,Hackney,51.53709,-0.07084,Entire home/apt,100,4,12,12/11/2019,0.33,1,0,0,
29447,22959348,Chelsea Cloisters,17220325,Robert,,Kensington and Chelsea,51.49557,-0.15948,Entire home/apt,100,1,3,2/4/2018,0.07,1,0,0,
29637,23100201,Beautiful Shoreditch apartment,27844153,Freddie,,Hackney,51.52598,-0.08025,Private room,100,1,0,,,1,0,0,
29784,23213273,"Bright, modern new build in trendy East London",14931575,Kristy,,Hackney,51.53476,-0.05747,Entire home/apt,100,3,0,,,1,0,0,
29889,23268322,Cosy one bedroom flat near Holland Park,76881775,Jen,,Kensington and Chelsea,51.50467,-0.21426,Entire home/apt,100,2,0,,,1,0,0,
29918,23287199,Stunning 1 bed flat right by Harrods,171963098,Ben,,Kensington and Chelsea,51.49617,-0.1648,Entire home/apt,100,2,20,11/30/2019,0.46,1,173,0,
28195,22134266,N4 Large 2 Bed Guest Suite with Kitchen & Shower,12647096,Linda,,Hackney,51.56674,-0.09737,Entire home/apt,100,3,22,6/6/2021,0.56,3,39,5,
15292,13907795,Spacious double room in the heart of Portobello,36442541,Kate,,Kensington and Chelsea,51.51754,-0.2147,Entire home/apt,100,1,1,7/30/2016,0.02,1,0,0,
26539,21364762,Stunning LOFT in East London (Old Street),1406026,Massimiliano,,Hackney,51.5296,-0.09173,Entire home/apt,100,3,0,,,1,0,0,
25716,20895629,Bright Duplex 2 Bed 2 Bath w/terrace near Chelsea,150107354,Olivia,,Kensington and Chelsea,51.49307,-0.18727,Entire home/apt,100,2,1,10/1/2017,0.02,1,0,0,
22873,19399848,Charming Victorian house with large garden,33186928,Annett,,Hackney,51.55643,-0.0866,Entire home/apt,100,3,4,8/12/2017,0.08,1,0,0,
22914,19435932,Holland Park Double Bedroom Flat,25659936,Rebecca,,Kensington and Chelsea,51.50737,-0.20756,Private room,100,5,0,,,1,0,0,
23577,19753589,New 2 Bedroom Flat near Victoria Park Hackney,28820321,Veronica,,Hackney,51.53812,-0.05061,Entire home/apt,100,2,22,11/24/2017,0.47,248,0,0,
23614,19766123,"Spacious, 2-bed house, Hackney, child friendly",118553831,Ruth,,Hackney,51.55733,-0.05896,Entire home/apt,100,2,7,12/29/2020,0.23,2,0,1,
23767,19832950,Beautiful Flat in the heart of Notting Hill,140176963,Meg,,Kensington and Chelsea,51.50599,-0.19328,Entire home/apt,100,2,0,,,1,0,0,
24027,19955292,Bright Spacious Hackney Home!,28820321,Veronica,,Hackney,51.54895,-0.04328,Entire home/apt,100,3,10,7/31/2018,0.21,248,0,0,
26404,21287764,"Hotel Quality, Modern 1 Bedroom Flat in Kensington",6954510,Christos,,Kensington and Chelsea,51.49737,-0.20672,Entire home/apt,100,3,5,2/24/2018,0.11,1,0,0,
24373,20098149,Stylish 1BD with King Sized Bed & Balcony,142578160,Georgia,,Hackney,51.56292,-0.04771,Entire home/apt,100,2,0,,,1,0,0,
24675,20254611,"Very bright rooms, in prime Kings Road location.",44555874,Kj Manny,,Kensington and Chelsea,51.483,-0.17368,Entire home/apt,100,5,1,8/28/2017,0.02,1,0,0,
24790,20344922,Stylish Studio Flat Near Portobello/Ladbroke Grove,45998325,Abigail,,Kensington and Chelsea,51.51684,-0.20838,Entire home/apt,100,2,5,11/6/2017,0.1,1,0,0,
25166,20562501,"Beautiful 2 bed apartment, 30 min to central",146859065,Steve,,Hackney,51.55253,-0.07681,Entire home/apt,100,4,18,8/21/2021,0.47,1,162,4,
25325,20664260,Stylish Shoreditch apartment,2081980,Jack & Jennie,,Hackney,51.52933,-0.07881,Entire home/apt,100,2,17,10/5/2017,0.35,1,0,0,
25551,20807541,Private bedroom in modern house in Notting Hill,149203415,Patrick,,Kensington and Chelsea,51.51669,-0.20578,Private room,100,2,0,,,1,0,0,
25595,20827230,Chelsea Cheyne Walk Apartment on the river.,149397334,Tatiana,,Kensington and Chelsea,51.48472,-0.16745,Private room,100,2,3,1/1/2020,0.06,2,365,0,
24516,20176682,"Modern, peaceful FAMILY home in Hackney",1219489,Anshu,,Hackney,51.55004,-0.03871,Entire home/apt,100,2,4,2/17/2019,0.08,1,0,0,
30079,23370577,Spacious Apartment Opposite Kensington Olympia,20637860,Casper,,Kensington and Chelsea,51.49641,-0.20799,Entire home/apt,100,2,0,,,2,0,0,
15026,13778244,East-end Writer's Flat: Jewel in Shoreditch,15469950,Elliot,,Hackney,51.52994,-0.08287,Entire home/apt,100,2,16,9/9/2016,0.26,1,0,0,
14574,13544975,Cool - New flat Broadway Market with Garden,34670790,Roberto,,Hackney,51.53975,-0.05523,Entire home/apt,100,1,21,9/3/2018,0.39,1,0,0,
8265,8013381,Charming 1 Bed in Notting Hill,29255936,Oliver,,Kensington and Chelsea,51.51253,-0.21822,Entire home/apt,100,2,8,1/2/2020,0.33,2,0,0,
8157,7930056,Light & Spacious 1-bedroom flat,33193871,Carlotta,,Kensington and Chelsea,51.48534,-0.18711,Entire home/apt,100,1,4,9/28/2015,0.05,1,0,0,
7373,7438923,Family house in Victoria Park E9,8110918,Soraya,,Hackney,51.53788,-0.04608,Entire home/apt,100,4,7,10/26/2017,0.1,2,202,0,
7213,7334540,"Beautiful flat + communal garden, Notting Hill",38361172,Christabel,,Kensington and Chelsea,51.51562,-0.20925,Entire home/apt,100,28,27,10/9/2016,0.36,1,0,0,
7180,7308703,nell gwynn house,38288222,Lubna,,Kensington and Chelsea,51.49289,-0.16515,Entire home/apt,100,1,0,,,1,0,0,
7109,7263501,One bedroom flat & Private terrace,38027115,Jessica,,Kensington and Chelsea,51.48369,-0.17377,Entire home/apt,100,1,0,,,1,0,0,
6905,7093533,Modern flat with great views,37179743,Pall,,Hackney,51.56535,-0.10146,Entire home/apt,100,5,1,7/14/2015,0.01,1,0,0,
6867,7069984,Lovely & modern flat in the heart of Hackney,2741598,Dilyara,,Hackney,51.53613,-0.05696,Entire home/apt,100,14,28,11/15/2020,0.37,1,90,4,
6862,7063648,1 bed Flat in Notting Hill,31216354,Alex,,Kensington and Chelsea,51.51901,-0.20436,Entire home/apt,100,1,0,,,1,0,0,
6687,6944512,Chic 1br flat in Ladbroke Grove W11,2563095,Celia,,Kensington and Chelsea,51.51414,-0.21213,Entire home/apt,100,3,5,12/3/2017,0.07,1,0,0,
6686,6944342,Family maisonette in East London,12205912,Helen,,Hackney,51.5658,-0.06615,Entire home/apt,100,6,18,8/25/2015,0.47,1,0,0,
6656,6923731,Beautiful Top Floor Flat in Hackney,1888617,Malachy,,Hackney,51.54379,-0.04774,Entire home/apt,100,1,5,12/1/2015,0.07,2,0,0,
6321,6674937,2-bedroom flat in South Kensington,34935453,Helen,,Kensington and Chelsea,51.49623,-0.18778,Entire home/apt,100,1,7,8/9/2015,0.09,1,0,0,
6319,6673477,Lovely Victorian Terraced House,414218,Fiona,,Hackney,51.5619,-0.07558,Entire home/apt,100,2,1,8/15/2016,0.02,1,0,0,
6301,6657059,Beautiful flat in Hackney,7378833,Alvaro,,Hackney,51.53957,-0.04868,Entire home/apt,100,2,2,1/2/2016,0.03,1,0,0,
6285,6651738,Charming flat in vibrant Hackney,26732569,Chris,,Hackney,51.55839,-0.05888,Entire home/apt,100,7,0,,,1,0,0,
6175,6584346,Cosy 1-bed Flat in Knightsbridge,4639819,Barbara,,Kensington and Chelsea,51.4973,-0.16348,Entire home/apt,100,1,11,9/27/2016,0.14,1,0,0,
4597,4846349,Lovely flat in Old Street,8723269,Denise,,Hackney,51.52897,-0.09295,Entire home/apt,100,1,0,,,1,0,0,
4750,5016435,Charming & spacious flat in London,2280713,Emily,,Hackney,51.55458,-0.05614,Entire home/apt,100,1,0,,,1,0,0,
4933,5236533,Top floor flat with balcony and stunning view,3461106,Alistair,,Hackney,51.53961,-0.05973,Entire home/apt,100,3,25,7/8/2019,0.34,2,0,0,
4990,5323290,Lovely house in London Fields,26950315,Amber,,Hackney,51.53693,-0.06282,Entire home/apt,100,1,1,2/22/2015,0.01,1,0,0,
5016,5353685,"London Fields, Park View, 2 Beds",27731473,Sheena,,Hackney,51.53977,-0.0627,Entire home/apt,100,7,0,,,1,0,0,
5185,5560883,Cosy flat in Hoxton,15644138,Naomi,,Hackney,51.53194,-0.09136,Entire home/apt,100,2,95,11/4/2020,1.31,1,299,7,
8377,8120383,Beautiful Studio Near Finsbury Park,22444764,Nancy,,Hackney,51.56446,-0.09983,Entire home/apt,100,2,11,10/29/2017,0.29,1,0,0,
5288,5684042,Stoke Newington - 3 Bed Garden Flat,2013434,Ruth,,Hackney,51.56638,-0.07754,Entire home/apt,100,2,13,10/30/2016,0.22,1,0,0,
5349,5746492,"Charming 2 bed, by Portabello Road",6504214,Clare,,Kensington and Chelsea,51.5214,-0.2122,Entire home/apt,100,2,32,12/3/2020,0.48,1,178,5,
5512,5949650,2 bed flat in East London canal side location,7255862,Sarah,,Hackney,51.53644,-0.05466,Entire home/apt,100,2,3,6/10/2018,0.07,1,0,0,
5645,6102835,Large Sunny Flat on the Fields by Lido & Brdwy Mkt,28959570,Lol,,Hackney,51.5398,-0.06236,Entire home/apt,100,2,43,2/17/2021,0.57,1,87,4,
5676,6138426,"Spacious ensuite bedroom, East LDN.",31844340,Violetta,,Hackney,51.53526,-0.08122,Private room,100,3,0,,,1,88,0,
5910,6359036,"Light, airy 3 bed with roof terrace",33127619,Rosie,,Hackney,51.56184,-0.09911,Entire home/apt,100,2,3,8/23/2015,0.04,1,0,0,
5945,6388055,Charming Flat in a Victorian House,33299440,Marcio,,Hackney,51.54898,-0.06342,Entire home/apt,100,7,1,7/29/2015,0.01,1,0,0,
5290,5687832,Lovely Family Home in Dalston,29491607,Gabriella,,Hackney,51.552,-0.07724,Entire home/apt,100,3,2,4/21/2015,0.03,1,0,0,
8619,8335325,1 Bedroom flat in Notting Hill,6692838,Michael,,Kensington and Chelsea,51.51954,-0.21015,Entire home/apt,100,2,10,1/17/2016,0.14,1,0,0,
9234,8930456,Master Bedroom in Earls Court,5399003,Konstantinos,,Kensington and Chelsea,51.4874,-0.1902,Private room,100,1,2,10/17/2016,0.03,2,365,0,
9302,8981498,"Modern 1 bed, 5 min walk to Earl's Court station",27185168,Kim,,Kensington and Chelsea,51.49438,-0.19265,Entire home/apt,100,2,2,9/16/2016,0.03,1,0,0,
12015,11424164,2bdr/2bath flat w/ garden behind Kensington Palace,39619592,Carmen,,Kensington and Chelsea,51.5058,-0.19387,Entire home/apt,100,1,2,8/22/2016,0.03,1,0,0,
12059,11471583,Lovely Shoreditch 1 Bedroom Flat,60356156,Jane,,Hackney,51.53041,-0.08927,Entire home/apt,100,1,37,9/27/2017,0.61,1,253,0,
12334,11728818,Dalston Penthouse - 24 Hour Check In - ❤️❤️❤️,29724160,Simon,,Hackney,51.54557,-0.0752,Entire home/apt,100,2,56,11/18/2019,1.57,1,27,0,
12700,12079539,arty 3 bed house w/garden Hackney,5510448,Abigail,,Hackney,51.55344,-0.0469,Entire home/apt,100,4,0,,,2,0,0,
12773,12133710,Private Room in Spacious and Elegant Chelsea Flat,65008139,Will,,Kensington and Chelsea,51.49202,-0.16647,Private room,100,2,114,11/4/2019,1.8,1,0,0,
12774,12134125,Spacious factory-conversion studio,23365319,Douglas,,Hackney,51.54706,-0.05868,Entire home/apt,100,1,0,,,1,0,0,
11760,11170106,Amazing Location! Garden Flat on London Fields,549588,Simon,,Hackney,51.5421,-0.06256,Entire home/apt,100,3,4,9/13/2016,0.06,1,0,0,
12784,12142475,Cosy 2 bedroom flat,6161112,Anais,,Hackney,51.53083,-0.09182,Entire home/apt,100,2,1,4/11/2016,0.02,1,0,0,
13029,12355072,1 Bed Flat in heart of Notting Hill,66695268,Nessa,,Kensington and Chelsea,51.51005,-0.19367,Entire home/apt,100,1,4,5/9/2016,0.06,1,0,0,
13192,12537542,Cosy Room on Ladbroke Grove,54363511,Charles,,Kensington and Chelsea,51.52453,-0.21284,Private room,100,1,0,,,2,0,0,
13498,12868663,Sunny home with garden near Victoria Park,70366811,Barbara,,Hackney,51.5356,-0.04711,Entire home/apt,100,3,5,8/4/2016,0.08,2,0,0,
13606,12953536,Spacious Room in South Kensington/ Near Museums,42309257,E Cristina,,Kensington and Chelsea,51.49632,-0.17843,Private room,100,1,7,12/17/2018,0.19,3,90,0,
13813,13081062,Modern 1 bed by park and canal,2368379,Zohar,,Hackney,51.56227,-0.0502,Entire home/apt,100,5,3,9/22/2018,0.05,1,0,0,
14066,13238670,Light-filled home w beautiful views,9305447,Carter,,Hackney,51.54721,-0.06799,Entire home/apt,100,3,1,6/29/2016,0.02,1,0,0,
12974,12321828,"Bright, sunny home",6587977,Jessica,,Hackney,51.55957,-0.08765,Entire home/apt,100,3,29,11/11/2018,0.59,2,0,0,
14608,13559787,"Spacious, Cool Clapton Apt in the Buzz of Hackney",1255337,Simone,,Hackney,51.56012,-0.05625,Entire home/apt,100,3,0,,,1,0,0,
11707,11119304,One bedroom flat in Notting Hill,57769432,Philippe,,Kensington and Chelsea,51.51144,-0.19607,Entire home/apt,100,1,0,,,1,0,0,
11384,10809651,Fabulously Shoreditch,45060758,Wendy+Patrick,,Hackney,51.52968,-0.07488,Entire home/apt,100,3,0,,,1,0,0,
9336,9005597,Modern. Georgian. Luxury.,18759992,Moon,,Hackney,51.55846,-0.084,Entire home/apt,100,5,1,3/1/2019,0.03,1,0,0,
9430,9093050,Charming Notting Hill Town Cottage,45874223,Catherine,,Kensington and Chelsea,51.51211,-0.21294,Entire home/apt,100,2,22,8/25/2018,0.35,1,0,0,
9650,9266450,Good Size Double Room In Hackney,3652271,Ashley,,Hackney,51.54313,-0.055,Private room,100,100,4,10/31/2016,0.06,1,362,0,
9762,9363888,Lovely and comfy apartment in Chelsea,29044239,Rosa,,Kensington and Chelsea,51.48732,-0.17583,Entire home/apt,100,3,9,5/8/2017,0.16,1,0,0,
9809,9404215,Lovely penthouse in shoreditch,33797451,Morgane,,Hackney,51.52509,-0.08311,Entire home/apt,100,2,7,7/12/2016,0.12,1,0,0,
9949,9502124,"Modern, light, spacious townhouse",5663326,Francesca,,Kensington and Chelsea,51.49318,-0.19468,Private room,100,1,0,,,1,0,0,
11404,10827849,top-floor Shoreditch apartment,416548,Federica,,Hackney,51.52544,-0.08463,Entire home/apt,100,6,0,,,1,0,0,
10185,9671580,Sunny Maisonette in East London,21156386,Fiona,,Hackney,51.54369,-0.04373,Entire home/apt,100,3,0,,,1,0,0,
10590,9894454,Flat in Hackney Central,9945285,Paris,,Hackney,51.54267,-0.05588,Entire home/apt,100,1,0,,,1,0,0,
10698,9968132,Modern flat in Haggerston/Shoreditch,5906540,Uli,,Hackney,51.53888,-0.07547,Private room,100,3,0,,,1,0,0,
10740,9995674,Loft converstion in Finsbury park,19328864,Jason,,Hackney,51.56414,-0.10103,Entire home/apt,100,1,0,,,1,0,0,
10818,10063603,Stylish 3-bed flat in Kensington by the park,51641436,Franky,,Kensington and Chelsea,51.50029,-0.18842,Entire home/apt,100,4,33,6/30/2019,0.49,1,0,4,
10947,10242370,Lovely 1 bedroom flat in Shoreditch,52639821,Sara,,Hackney,51.52706,-0.07948,Entire home/apt,100,2,1,1/12/2016,0.01,1,0,0,
11196,10602230,Quintessential bachelor´s pad,14462160,Nicolo,,Kensington and Chelsea,51.50662,-0.19626,Entire home/apt,100,4,1,5/4/2016,0.02,1,0,0,
10372,9774641,Clean/Cosy Central Chelsea Studio,50392824,Lisa,,Kensington and Chelsea,51.49303,-0.16799,Entire home/apt,100,2,215,3/8/2020,3.22,8,0,0,
4564,4819825,Sunny London Fields/Dalston Flat,4628960,Louise,,Hackney,51.54617,-0.06365,Entire home/apt,100,3,12,10/16/2017,0.16,1,0,0,
30453,23607451,Luxury apt 100 meters from metro Zone 2 Dalston,24125678,Steph,,Hackney,51.54465,-0.07418,Entire home/apt,100,7,3,8/27/2018,0.08,2,71,0,
30978,23935389,Hackney House,179941642,Oli,,Hackney,51.54766,-0.03664,Entire home/apt,100,365,3,8/20/2018,0.07,1,362,0,
57249,43403404,"Hyde Park Luxurious Hotel, Beautiful Family Room",345760385,Nikunjkumar,,Kensington and Chelsea,51.50056,-0.18288,Private room,100,365,0,,,23,180,0,
57246,43403007,"Hyde Park Luxurious Hotel, Beautiful Family Room",345760385,Nikunjkumar,,Kensington and Chelsea,51.50027,-0.18203,Private room,100,365,0,,,23,180,0,
57244,43403001,"Hyde Park Luxurious Hotel, Beautiful Family Room",345760385,Nikunjkumar,,Kensington and Chelsea,51.50021,-0.18233,Private room,100,365,0,,,23,180,0,
57243,43403000,"Hyde Park Luxurious Hotel, Beautiful Family Room",345760385,Nikunjkumar,,Kensington and Chelsea,51.50055,-0.18105,Private room,100,365,0,,,23,180,0,
57240,43402696,"Hyde Park Luxurious Hotel, Beautiful Family Room",345760385,Nikunjkumar,,Kensington and Chelsea,51.50062,-0.1808,Private room,100,365,0,,,23,180,0,
57238,43402690,"Hyde Park Luxurious Hotel, Fabulous Double Room",345760385,Nikunjkumar,,Kensington and Chelsea,51.50089,-0.18279,Private room,100,365,0,,,23,180,0,
57237,43402686,"Hyde Park Luxurious Hotel, Faboulas Double Room",345760385,Nikunjkumar,,Kensington and Chelsea,51.50106,-0.18291,Private room,100,365,0,,,23,180,0,
57236,43402630,"Hyde Park Luxurious Hotel, Faboulas Double Room",345760385,Nikunjkumar,,Kensington and Chelsea,51.50035,-0.1826,Private room,100,365,0,,,23,180,0,
57219,43387551,"One Bus access to the city center, 7/24 Bus, Zone2",345680035,Cengiz,,Hackney,51.56452,-0.08803,Private room,100,4,0,,,1,90,0,
57041,43145043,easyHotel Victoria,343504616,Wilson,,Hackney,51.5224,-0.08043,Entire home/apt,100,1,0,,,1,0,0,
57034,43143739,New Road Hotel,343478327,Noa,,Hackney,51.52114,-0.08311,Entire home/apt,100,1,0,,,1,0,0,
56386,42754604,Charming 1BD Flat Near Notting Hill,334970805,Tor,,Kensington and Chelsea,51.51824,-0.22257,Entire home/apt,100,2,0,,,1,0,0,
56172,42630851,"Beautiful cosy flat in London Fields, Hackney...",34429455,Adam,,Hackney,51.54449,-0.05933,Private room,100,2,0,,,1,325,0,
55930,42484770,Flat in trendy Hackney Wick,49197337,Hugh,,Hackney,51.54471,-0.03079,Entire home/apt,100,4,2,5/16/2021,0.11,1,76,1,
55227,42063878,Modern & Bright perfectly located Two-Bed Apt,329886508,Kevin,,Hackney,51.53816,-0.07686,Entire home/apt,100,2,0,,,1,149,0,
55162,42023246,Victoria&Albert double bedroom& private bathroom,333025043,Mister,,Kensington and Chelsea,51.49708,-0.16581,Private room,100,1,0,,,1,365,0,
54178,41334298,Charming Flat in Belgravia,238903426,James,,Kensington and Chelsea,51.49478,-0.15795,Entire home/apt,100,7,1,2/2/2020,0.05,2,0,0,
50193,38820144,Bright and modern one bedroom flat in Hoxton,15563394,Tomas,,Hackney,51.53314,-0.08962,Entire home/apt,100,3,4,10/21/2019,0.17,1,0,0,
50240,38862325,Hidden Gem Studio flat,297566206,Sal,,Kensington and Chelsea,51.49633,-0.20452,Entire home/apt,100,2,2,2/26/2020,0.1,1,0,0,
50281,38885648,"Perfectly located flat in Hackney, London",7399397,Liselotte,,Hackney,51.53893,-0.05783,Entire home/apt,100,2,2,11/24/2019,0.09,1,0,0,
51513,39661088,Beautiful one-bed flat near Portobello Road.,474943,Sophie,,Kensington and Chelsea,51.5202,-0.20427,Entire home/apt,100,2,4,12/30/2019,0.21,1,0,0,
51634,39740306,Penthouse with views across London to park,10417843,May,,Kensington and Chelsea,51.49768,-0.20568,Entire home/apt,100,25,1,11/8/2019,0.04,4,314,0,
51871,39893587,Entire one bedroom flat in Kensington,15417648,Monica,,Kensington and Chelsea,51.49515,-0.1949,Entire home/apt,100,3,1,1/1/2020,0.05,2,0,0,
57251,43403536,"Hyde Park Luxurious Hotel, Fabulous Double Room",345760385,Nikunjkumar,,Kensington and Chelsea,51.5003,-0.18212,Private room,100,365,0,,,23,180,0,
